timestamps,eeg_1,eeg_2,eeg_3,eeg_4,ppg_1,ppg_2,ppg_3
1553360314.6532683,882.417602539,825.201477051,798.608032227,875.164855957,,,
1553360314.6554253,,,,,2390989.0,167912384.0,159800592.0
1553360314.6571672,886.446899414,822.783874512,811.501831055,874.358947754,,,
1553360314.6610663,840.512817383,821.978027344,811.501831055,825.604370117,,,
1553360314.6649652,813.516479492,821.172180176,804.249084473,820.366271973,,,
1553360314.6660976,,,,,,,
1553360314.6663587,,,,,,,
1553360314.6688640,847.765563965,819.963378906,811.098876953,862.67401123,,,
1553360314.6710246,,,,,2391794.75,167913184.0,159818320.0
1553360314.6718378,,,,,,,
1553360314.6727629,869.926757812,817.142883301,810.293029785,880.0,,,
1553360314.6766620,843.73626709,816.739929199,807.069580078,832.857116699,,,
1553360314.6805608,815.934082031,818.351623535,809.890136719,799.010986328,,,
1553360314.6844597,830.439575195,817.142883301,813.113525391,842.124511719,,,
1553360314.6857312,,,,,,,
1553360314.6859920,,,,,,,
1553360314.6866236,,,,,2390183.25,167889824.0,159811056.0
1553360314.6883585,863.8828125,819.963378906,807.47253418,888.461547852,,,
1553360314.6922576,852.197814941,816.336975098,800.219787598,860.256408691,,,
1553360314.6961565,819.963378906,808.278381348,802.234436035,809.084228516,,,
1553360314.7000554,828.021972656,812.307678223,805.860778809,830.842468262,,,
1553360314.7022228,,,,,2386959.75,167878528.0,159827984.0
1553360314.7039542,864.688659668,815.934082031,813.516479492,879.597045898,,,
1553360314.7053647,,,,,,,
1553360314.7056255,,,,,,,
1553360314.7070067,,,,,,,
1553360314.7078533,859.450561523,813.516479492,810.695983887,859.047607422,,,
1553360314.7079797,,,,,,,
1553360314.7079797,,,,,,,
1553360314.7082062,,,,,,,
1553360314.7082279,,,,,,,
1553360314.7082539,,,,,,,
1553360314.7083700,,,,,,,
1553360314.7084312,,,,,,,
1553360314.7084715,,,,,,,
1553360314.7085028,,,,,,,
1553360314.7085354,,,,,,,
1553360314.7086585,,,,,,,
1553360314.7086940,,,,,,,
1553360314.7087197,,,,,,,
1553360314.7087505,,,,,,,
1553360314.7088425,,,,,,,
1553360314.7088892,,,,,,,
1553360314.7089081,,,,,,,
1553360314.7090714,,,,,,,
1553360314.7117522,817.545776367,813.113525391,807.069580078,804.652038574,,,
1553360314.7156510,808.681335449,807.875488281,809.487182617,809.084228516,,,
1553360314.7178221,,,,,2396630.0,167913184.0,159857808.0
1553360314.7195499,846.153869629,806.666687012,809.084228516,865.091552734,,,
1553360314.7234490,856.630065918,810.695983887,806.666687012,877.985351562,,,
1553360314.7249982,,,,,,,
1553360314.7252591,,,,,,,
1553360314.7273479,818.754577637,813.113525391,807.47253418,815.934082031,,,
1553360314.7312467,804.652038574,816.739929199,802.637390137,792.967041016,,,
1553360314.7334213,,,,,2384542.0,167879344.0,159803008.0
1553360314.7351456,840.109863281,817.142883301,792.967041016,844.542114258,,,
1553360314.7390447,869.926757812,814.32232666,792.161193848,871.135559082,,,
1553360314.7421756,,,,,,,
1553360314.7429435,842.52746582,811.904785156,792.161193848,831.648376465,,,
1553360314.7446318,,,,,,,
1553360314.7448924,,,,,,,
1553360314.7468424,805.860778809,810.293029785,790.549438477,802.234436035,,,
1553360314.7490206,,,,,2390989.0,167901104.0,159852960.0
1553360314.7507412,820.769226074,809.487182617,790.14654541,842.930419922,,,
1553360314.7546403,851.391967773,809.084228516,791.758239746,888.864440918,,,
1553360314.7585392,835.67767334,811.904785156,798.20513916,851.79486084,,,
1553360314.7624381,798.20513916,815.53112793,792.564086914,797.802185059,,,
1553360314.7642653,,,,,,,
1553360314.7645259,,,,,,,
1553360314.7646198,,,,,2390989.0,167885792.0,159852160.0
1553360314.7663369,804.652038574,813.113525391,785.311340332,822.783874512,,,
1553360314.7702360,840.109863281,817.142883301,797.802185059,882.014648438,,,
1553360314.7741349,842.930419922,823.186828613,801.831481934,873.956054688,,,
1553360314.7773445,,,,,,,
1553360314.7780337,806.666687012,828.021972656,799.010986328,823.186828613,,,
1553360314.7802191,,,,,2396630.0,167909968.0,159835232.0
1553360314.7819326,794.175842285,826.41027832,805.457885742,824.395629883,,,
1553360314.7838986,,,,,,,
1553360314.7841594,,,,,,,
1553360314.7858317,830.036621094,818.754577637,803.040283203,871.538452148,,,
1553360314.7897305,848.168518066,813.919433594,801.025634766,876.776550293,,,
1553360314.7936294,811.501831055,813.113525391,812.307678223,821.978027344,,,
1553360314.7958183,,,,,2394212.5,167931728.0,159798176.0
1553360314.7975283,784.908447266,809.487182617,810.695983887,801.428588867,,,
1553360314.8014274,812.307678223,805.054931641,803.040283203,849.377319336,,,
1553360314.8035321,,,,,,,
1553360314.8037927,,,,,,,
1553360314.8053262,845.347961426,805.054931641,808.278381348,879.597045898,,,
1553360314.8092251,822.783874512,805.054931641,805.860778809,838.498168945,,,
1553360314.8094530,,,,,,,
1553360314.8094530,,,,,,,
1553360314.8096795,,,,,,,
1553360314.8097012,,,,,,,
1553360314.8097272,,,,,,,
1553360314.8098433,,,,,,,
1553360314.8099046,,,,,,,
1553360314.8099449,,,,,,,
1553360314.8099759,,,,,,,
1553360314.8100085,,,,,,,
1553360314.8101313,,,,,,,
1553360314.8101668,,,,,,,
1553360314.8101928,,,,,,,
1553360314.8102233,,,,,,,
1553360314.8103154,,,,,,,
1553360314.8103619,,,,,,,
1553360314.8103807,,,,,,,
1553360314.8105438,,,,,,,
1553360314.8114176,,,,,2392600.75,167925280.0,159825568.0
1553360314.8125134,,,,,,,
1553360314.8131239,770.805847168,804.249084473,795.384643555,802.637390137,,,
1553360314.8170230,788.534790039,802.234436035,801.025634766,832.051269531,,,
1553360314.8209219,844.945068359,800.219787598,809.487182617,865.091552734,,,
1553360314.8231657,,,,,,,
1553360314.8234262,,,,,,,
1553360314.8248208,842.124511719,803.040283203,805.054931641,842.930419922,,,
1553360314.8270166,,,,,2394212.5,167951872.0,159840880.0
1553360314.8287196,807.875488281,808.278381348,803.040283203,797.802185059,,,
1553360314.8326187,815.53112793,810.695983887,801.428588867,810.293029785,,,
1553360314.8365176,861.465209961,808.278381348,799.010986328,863.479858398,,,
1553360314.8404164,867.509155273,805.457885742,794.578735352,861.062255859,,,
1553360314.8426158,,,,,2394212.5,167870480.0,159869088.0
1553360314.8427992,,,,,,,
1553360314.8430595,,,,,,,
1553360314.8443153,820.769226074,803.846130371,790.14654541,805.860778809,,,
1553360314.8476825,,,,,,,
1553360314.8482144,809.890136719,804.652038574,797.399291992,793.772888184,,,
1553360314.8521132,858.241760254,811.904785156,803.846130371,848.974365234,,,
1553360314.8560121,888.461547852,812.307678223,801.025634766,865.091552734,,,
1553360314.8582151,,,,,2394212.5,167968784.0,159840080.0
1553360314.8599110,858.241760254,805.860778809,795.787536621,807.875488281,,,
1553360314.8624327,,,,,,,
1553360314.8626931,,,,,,,
1553360314.8638101,828.827819824,805.457885742,802.637390137,783.699645996,,,
1553360314.8677089,857.435913086,803.443237305,808.278381348,832.454223633,,,
1553360314.8716078,892.490844727,808.278381348,802.637390137,872.344299316,,,
